id,t1 ,y1 ,se1 ,t2 ,y2 ,se2 ,t3 ,y3 ,se3 ,na 
1,1,58.1 ,3.0649781 ,3,44.01 ,2.1036088 ,NA ,NA ,NA ,2
2,1,44.8 ,6.1967734 ,3,44.6 ,5.344717 ,NA ,NA ,NA ,2
3,1,32.9 ,6.506612 ,2,28,5.2414375 ,3,25.7 ,4.3893811 ,3
4,1,51.6 ,3.9244426 ,3,41.34 ,3.3120136 ,NA ,NA ,NA ,2
5,1,14.9 ,4.7750393 ,3,17.4 ,4.0160926 ,NA ,NA ,NA ,2
6,1,72,6.6018197 ,4,54,5.4738594 ,NA ,NA ,NA ,2
7,1,55,4.0852974 ,3,43,3.1037612 ,NA ,NA ,NA ,2
8,1,93,1.3416408 ,3,63,1.3416408 ,NA ,NA ,NA ,2
9,1,54.9 ,6.1755663 ,2,35,4.1641326 ,3,32.7 ,6.1268263 ,3
10,1,43.1 ,2.9029296 ,2,34.5 ,2.3186922 ,NA ,NA ,NA ,2
11,1,64.2 ,4.3705894 ,3,39.6 ,3.0039847 ,NA ,NA ,NA ,2
12,1,43.3 ,3.3387337 ,2,26,2.6622583 ,NA ,NA ,NA ,2
13,1,59,5.0002116 ,3,38,3.9998101 ,NA ,NA ,NA ,2
14,1,30.8 ,2.8001488 ,3,20.9 ,2.2211609 ,NA ,NA ,NA ,2
15,1,21.1 ,2.008316 ,2,16.8 ,1.5336232 ,NA ,NA ,NA ,2
16,1,55.1 ,3.0983867 ,3,36.6 ,2.32379 ,4,35.2 ,2.1430508 ,3
17,1,17.4 ,1.634119 ,4,12.6 ,1.1867322 ,NA ,NA ,NA ,2
18,1,36.5 ,5.2414375 ,3,23.53 ,2.3583064 ,NA ,NA ,NA ,2
19,1,34.9 ,2.3143304 ,4,25.6 ,1.3237522 ,NA ,NA ,NA ,2
20,1,43.5 ,2.3559785 ,4,33.97 ,1.5830774 ,NA ,NA ,NA ,2
21,1,57.5 ,3.9480256 ,4,40.35 ,3.307234 ,NA ,NA ,NA ,2
22,1,30.9 ,5.1847956 ,3,17.4 ,3.653385 ,NA ,NA ,NA ,2
23,1,48.2 ,4.5080931 ,3,39.1 ,3.1753903 ,NA ,NA ,NA ,2
24,1,20.1 ,1.8670719 ,2,12.1 ,1.5276032 ,NA ,NA ,NA ,2
25,1,80.4 ,11.198086 ,3,32.4 ,6.4988661 ,NA ,NA ,NA ,2
26,1,38,2.8571429 ,3,32,2.4271195 ,NA ,NA ,NA ,2
27,1,44,3.8758512 ,3,31.96 ,2.3709019 ,NA ,NA ,NA ,2
28,1,21.7 ,2.899796 ,3,15,1.9052559 ,NA ,NA ,NA ,2
29,1,51.6 ,7.5100409 ,3,36.3 ,6.6064793 ,NA ,NA ,NA ,2
30,1,58.75 ,17.000079 ,3,30,9.5082573 ,NA ,NA ,NA ,2
31,1,66.7 ,4.472136 ,2,61.1 ,5.1429563 ,3,36,4.0249224 ,3
32,1,78,8.9991123 ,3,53.97 ,4.8887125 ,NA ,NA ,NA ,2
33,1,59.5 ,8.2957125 ,2,50.3 ,8.02 ,NA ,NA ,NA ,2
34,1,51,6.363961 ,4,33.51 ,3.3225035 ,NA ,NA ,NA ,2
35,1,38.2 ,4.902607 ,3,33.2 ,3.9833682 ,NA ,NA ,NA ,2
36,1,39.2 ,1725,3,34.6 ,1.6124636 ,NA ,NA ,NA ,2
37,1,51,5.4738594 ,3,33,3.584417 ,NA ,NA ,NA ,2
38,1,29.7 ,0.8497058 ,3,23,0.5391683 ,NA ,NA ,NA ,2
39,1,22.1 ,5.1961524 ,3,8,2.0801257 ,NA ,NA ,NA ,2
40,1,36.6 ,2.2979701 ,4,26.8 ,1.7870153 ,NA ,NA ,NA ,2
41,1,35.5 ,2.3004347 ,4,25.5 ,1.5153657 ,NA ,NA ,NA ,2
42,1,12.45 ,1.5697197 ,2,11.25 ,1.8827692 ,NA ,NA ,NA ,2
43,1,27,1.6099689 ,4,12.5 ,0.910736 ,NA ,NA ,NA ,2
44,1,8.55 ,1.1582832 ,3,5.4 ,0.9615092 ,NA ,NA ,NA ,2
45,1,45.2 ,2.7110883 ,4,28,1.8203022 ,NA ,NA ,NA ,2
46,1,47,5.891883 ,4,25.54 ,1.9240607 ,NA ,NA ,NA ,2
47,1,NA ,1,2,54.5 ,5.8175381 ,3,44.1 ,4.88 ,3
48,1,56.5 ,4.7992197 ,3,46.05 ,4.1389736 ,NA ,NA ,NA ,2
49,1,31.6 ,0.8336148 ,3,28.33 ,0.6392041 ,NA ,NA ,NA ,2
50,1,37,3.354102 ,3,27,2.9104275 ,NA ,NA ,NA ,2
51,1,NA ,1,2,65,6.3960215 ,3,58,5.2128604 ,3
52,1,31.3 ,2.4373141 ,4,25.93 ,1.3381157 ,NA ,NA ,NA ,2
53,1,44.2 ,0.82 ,4,35.1 ,0.7 ,NA ,NA ,NA ,2
54,1,57.4 ,7.2527051 ,2,39.56 ,3.2734082 ,NA ,NA ,NA ,2
55,1,19.5 ,2.1430508 ,3,16.9 ,1.6782928 ,NA ,NA ,NA ,2
56,1,141.5 ,17.654099 ,4,73.56 ,9.6391968 ,NA ,NA ,NA ,2
